tweet_id,text,created_at,lang,source,conversation_id,in_reply_to_user_id,possibly_sensitive,reply_settings,retweet_count,reply_count,like_count,quote_count,bookmark_count,impression_count,hashtags,mentions,urls,annotations,geo_place_id,author_id,author_name,author_username,author_description,author_location,author_created_at,author_verified,author_verified_type,author_protected,author_profile_image_url,author_url,author_followers_count,author_following_count,author_tweet_count,author_listed_count,grupo
1612199082021294084,"Que fique claro que o responsável por acionar o gatilho desse ""detonador"" em Brasília foi o Ministro Flávio Dino com suas falácias e ameaças de perseguição aos conservadores do Brasil.",2023-01-08T21:26:29.000Z,pt,,1612199082021294084,,False,everyone,6250,754,27789,250,40,340302,,,,,,1513246185506721795,Capitão Telhada,capitaotelhada,"Capitão Telhada -
Deputado Estadual Eleito SP -
ROTA, COE, CHOQUE, FORÇA TÁTICA -
Pai, Marido, Cristão e Conservador",,2022-04-10T20:03:16.000Z,True,government,False,https://pbs.twimg.com/profile_images/1981785827681218560/GHnhsLkM_normal.jpg,,24218,53,512,14,gerais
1612179300798828544,"Parágrafo único:
Quem vier aqui passar pano, minimizar ou defender de qualquer forma o que está acontecendo hoje em Brasília será bloqueado imediatamente.",2023-01-08T20:07:52.000Z,pt,,1612179300798828544,,False,everyone,4690,1237,60633,282,68,1586842,,,,,,111447571,Carla Vilhena,carlavilhenaa,"Jornalista, palestrante, apresentadora, media training. Instagram e TikTok @carlavilhenaa E-mail falecomigo@carlavilhena.com.br",,2010-02-04T23:41:57.000Z,False,none,False,https://pbs.twimg.com/profile_images/1957982548857942016/Qbh6uzgw_normal.jpg,https://t.co/ag8n2nkhSl,215413,1788,50840,563,gerais
1612219829846409218,GRAVE 🚨 CNN obtém áudio de Magno Malta convocando atos golpistas em Brasília. https://t.co/u7da8wAwdr,2023-01-08T22:48:55.000Z,pt,,1612219829846409218,,False,everyone,3831,716,23320,580,106,859610,,,https://x.com/GNGeekNation/status/1612219829846409218/photo/1;https://x.com/GNGeekNation/status/1612219829846409218/photo/1,,,884185909368901633,GN,GNGeekNation,"Geek Nation: Notícias em geral sobre o maravilhoso mundinho geek. ✊🏾🏳️‍🌈

📩: gnextended@gmail.com",🔔 Ativem as Notificações ,2017-07-09T23:02:02.000Z,False,none,False,https://pbs.twimg.com/profile_images/1939826691838259200/UQOaZWqf_normal.jpg,,48644,413,39063,152,originais
1612171566967554052,"🇧🇷⚡ — More from National Congress, Brasília. https://t.co/K9apj4L1FL",2023-01-08T19:37:08.000Z,pt,,1612171566967554052,,False,everyone,2545,128,6484,164,38,160642,,,https://x.com/OnePaul87/status/1612171566967554052/video/1,,,47284359,OnePaul,OnePaul87,"🇧🇷🇮🇳🇮🇩🇦🇪 CEO  Indo-Brazilian, Indonesia & Emirates Chamber | 💵 Entrepreneur | Geopolitics, Economy and Politics | 🇧🇷 PT-🇺🇸 EN-🇪🇸 ES","Miami, FL",2009-06-15T07:27:15.000Z,True,blue,False,https://pbs.twimg.com/profile_images/1630708759713423362/ASz_Kvan_normal.jpg,https://t.co/vKhUTGA2yk,70664,1362,20258,61,originais
1612162945265569794,"🚨AGORA: Enquanto bolsonaristas invadem o Congresso Nacional, Planalto e STF, policiais de Brasília tiram foto e conversam com os golpistas.
 https://t.co/QXEXBufdHW",2023-01-08T19:02:53.000Z,pt,,1612162945265569794,,False,everyone,4169,1804,24281,2719,257,3372591,,,https://x.com/Ana_Flor/status/1612160869533732865/video/1,,,953378142198161409,CHOQUEI,choquei,A sua fonte de notícias mais rápida. Tudo sobre os acontecimentos mais recentes do Brasil e do mundo. Contato: assessoriachoquei@gmail.com,,2018-01-16T21:27:16.000Z,True,blue,False,https://pbs.twimg.com/profile_images/1624042710037299200/_wiCdKIW_normal.jpg,,9458644,7330,114054,2502,gerais
1612174102160199684,metade de brasília vai estar desempregada amanhã https://t.co/k092biCnLJ,2023-01-08T19:47:13.000Z,pt,,1612174102160199684,,False,everyone,1453,31,9310,136,237,308581,,,https://x.com/qqrmeme/status/1586767063711817728/video/1,,,1172336270367850497,lula neoliberal,nextlevelbiel,a mão invisível do mercado te apalpando • (he/him) • economista,"Curitiba, Brasil",2019-09-13T02:28:52.000Z,False,none,False,https://pbs.twimg.com/profile_images/2036297197160112129/_5jYNQbh_normal.jpg,https://t.co/k27mIDATFU,14505,2346,123107,36,originais
1612173688711045120,"Um policial é protegido e aplaudido pelos manifestantes em Brasília, durante invasão aos prédios dos três poderes. https://t.co/XYkSMV4Mlo",2023-01-08T19:45:34.000Z,pt,,1612173688711045120,,False,everyone,1152,52,3528,78,35,85813,,,https://x.com/Linabellaazul/status/1612173688711045120/video/1,,,3815963715,ℒ𝒾𝓃𝒶,LinaFerruccio,𝐄𝐔 𝐎𝐃𝐖𝐈𝐎 🦑,,2015-09-29T15:53:13.000Z,True,blue,False,https://pbs.twimg.com/profile_images/1966155308952129536/FRjBCE4e_normal.jpg,,75770,36525,77532,56,originais
1612065935208112128,"Cerca de 300 ônibus chegam a Brasília nesta manhã, governador diz que irá monitorar manifestantes e manterá segurança. https://t.co/pA13qzAMFZ",2023-01-08T12:37:24.000Z,pt,,1612065935208112128,,False,everyone,922,45,3046,33,2,38555,,,https://atrombetanews.com.br/2023/01/08/cerca-de-300-onibus-chegam-a-brasilia-nesta-manha-governador-diz-que-ira-monitorar-manifestantes-e-mantera-seguranca/,,,1214887979740803072,A TROMBETA,ATROMBETA3,"Nosso canal prima pela qualidade e credibilidade. Defendemos a liberdade de expressão, a liberdade religiosa e a  economia  de livre mercado.",,2020-01-08T12:34:37.000Z,False,none,False,https://pbs.twimg.com/profile_images/1626651396081651734/LhNTJFJW_normal.jpg,https://t.co/vjgLuYUBfI,147987,18970,110617,105,originais
1612191807940460545,"E vamos descobrir quem são os financiadores de quem foi a Brasília hoje, e todos eles pagarão com a força da lei.",2023-01-08T20:57:34.000Z,pt,,1612191803901444098,2670726740.0,False,everyone,7736,1874,88311,1128,50,2295536,,,,,,2670726740,Lula,LulaOficial,"Filho da Dona Lindu, marido da @JanjaLula, presidente da República. Trabalhando para reconstruir o Brasil.","Brasília, Brasil",2014-07-22T21:36:50.000Z,True,government,False,https://pbs.twimg.com/profile_images/1630217574100213762/SAMK-BnB_normal.jpg,https://t.co/FWDIwBcWRa,10211221,2835,37920,6198,gerais
1612191803901444098,"Vocês devem ter acompanhado a barbárie em Brasília hoje. Aquelas pessoas que chamamos de fascistas, o que há de mais abominável na política, invadiram a sede do palácio e o Congresso. Achamos que houve falta de segurança.",2023-01-08T20:57:33.000Z,pt,,1612191803901444098,,False,everyone,22958,17646,270996,2005,512,11355567,,,,,,2670726740,Lula,LulaOficial,"Filho da Dona Lindu, marido da @JanjaLula, presidente da República. Trabalhando para reconstruir o Brasil.","Brasília, Brasil",2014-07-22T21:36:50.000Z,True,government,False,https://pbs.twimg.com/profile_images/1630217574100213762/SAMK-BnB_normal.jpg,https://t.co/FWDIwBcWRa,10211221,2835,37920,6198,gerais
